#,title,videoUrl,videoId,publishedAt,position
71,7.3 Traveling Salesman Problem - Branch and Bound,https://www.youtube.com/watch?v=1FEP_sNb62k&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=71,1FEP_sNb62k,2018-04-13T21:12:09Z,70
72,8. NP-Hard and NP-Complete Problems,https://www.youtube.com/watch?v=e2cF8a5aAhE&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=72,e2cF8a5aAhE,2018-02-28T12:08:20Z,71
73,8.1 NP-Hard Graph Problem - Clique Decision Problem,https://www.youtube.com/watch?v=qZs767KQcvE&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=73,qZs767KQcvE,2018-04-09T18:39:02Z,72
74,9.1 Knuth-Morris-Pratt KMP String Matching Algorithm,https://www.youtube.com/watch?v=V5-7GzOfADQ&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=74,V5-7GzOfADQ,2018-03-25T08:37:39Z,73
75,9.2 Rabin-Karp String Matching Algorithm,https://www.youtube.com/watch?v=qQ8vS2btsxI&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=75,qQ8vS2btsxI,2018-03-30T19:29:59Z,74
76,10.1 AVL Tree - Insertion and Rotations,https://www.youtube.com/watch?v=jDM6_TnYIqE&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=76,jDM6_TnYIqE,2018-03-16T16:24:28Z,75
77,10.2  B Trees and B+ Trees. How they are useful in Databases,https://www.youtube.com/watch?v=aZjYr87r1b8&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=77,aZjYr87r1b8,2018-03-30T10:22:27Z,76
78,Asymptotic Notations - Simplified,https://www.youtube.com/watch?v=ddsP7NecEBk&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=78,ddsP7NecEBk,2015-09-17T18:59:09Z,77
79,Hashing Technique - Simplified,https://www.youtube.com/watch?v=mFY0J5W8Udk&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=79,mFY0J5W8Udk,2015-09-16T11:23:23Z,78
80,Shortest Path Algorithms (Dijkstra and Bellman-Ford)  - Simplified,https://www.youtube.com/watch?v=2raV0H9KqY8&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=80,2raV0H9KqY8,2016-12-22T15:01:37Z,79
81,BFS DFS - Simplified,https://www.youtube.com/watch?v=kyUpc_5705s&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=81,kyUpc_5705s,2015-10-23T10:24:17Z,80
82,Tower of Hanoi Problem - Made Easy,https://www.youtube.com/watch?v=q6RicK1FCUs&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=82,q6RicK1FCUs,2014-05-07T19:41:58Z,81
83,Row-Major and Column-Major Mapping,https://www.youtube.com/watch?v=MJZd6uPi88E&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=83,MJZd6uPi88E,2015-09-16T20:49:47Z,82
84,Merge Sort Algorithm - Hindi,https://www.youtube.com/watch?v=zXhWPrMLXGo&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=84,zXhWPrMLXGo,2015-09-10T15:59:32Z,83
